Models,Accuracy,Precision,Recall,F1
SVC,0.8549107142857143,0.8627952300092622,0.8549107142857143,0.8584185736233525
RANDOM FOREST,0.9017857142857144,0.9017857142857144,0.9017857142857144,0.9017857142857144
LOGISTIC REGRESSION,0.7879464285714286,0.8906044774897234,0.7879464285714286,0.8162538400438318
GRADIENT BOOSTING,0.8928571428571429,0.8846661880832736,0.8928571428571429,0.8872372747726093
DECISION TREE,0.8169642857142857,0.8263677811550151,0.8169642857142857,0.8213843432109685
